epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,2.534899,1.816204,0.536813,0.767033,0.450647,14:44
1,1.176525,1.560562,0.623352,0.817582,0.541880,14:42
2,0.631512,1.534131,0.651648,0.852747,0.559138,14:42
3,0.317694,1.426665,0.696429,0.869231,0.612677,14:42
4,0.152062,1.480449,0.714011,0.870330,0.624238,14:43
5,0.076343,1.461334,0.720055,0.883516,0.639464,14:43
6,0.039818,1.449663,0.732692,0.885714,0.642184,14:42
7,0.023585,1.453780,0.739286,0.892033,0.641957,14:42
8,0.014987,1.467361,0.742308,0.892033,0.647607,14:42
9,0.010949,1.462733,0.741758,0.889560,0.648430,14:42
10,0.008645,1.451515,0.745330,0.890659,0.652023,14:43
11,0.007650,1.474387,0.745330,0.890934,0.653722,14:42
12,0.006982,1.458035,0.749451,0.891209,0.658803,14:43
13,0.006087,1.487087,0.742308,0.890385,0.652053,14:42
14,0.004915,1.492511,0.741758,0.892582,0.648571,14:42
15,0.004577,1.479344,0.744780,0.891758,0.655071,14:42
16,0.004209,1.502573,0.746154,0.889560,0.653914,14:43
17,0.004109,1.502533,0.747527,0.892033,0.656702,14:43
18,0.003741,1.510445,0.746978,0.892033,0.655184,14:44
19,0.003422,1.502329,0.749451,0.892857,0.656846,14:45
20,0.003200,1.501065,0.748901,0.892308,0.656686,14:45
21,0.003988,1.499497,0.746978,0.888462,0.655699,14:45
22,0.003252,1.506457,0.749176,0.891209,0.656956,14:45
23,0.002898,1.517599,0.750000,0.889286,0.659781,14:45
24,0.003315,1.513277,0.747253,0.891209,0.658079,14:45
25,0.002775,1.513582,0.750000,0.889286,0.661464,14:44
26,0.002950,1.523856,0.746429,0.892033,0.659080,14:44
27,0.002725,1.519881,0.745055,0.891484,0.658319,14:44
28,0.002515,1.526384,0.747253,0.892308,0.659450,14:44
29,0.002534,1.527805,0.748352,0.892033,0.661282,14:44
