epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,4.012241,2.824738,0.301099,0.526374,0.226577,02:12
1,2.324697,2.254670,0.411813,0.658516,0.335448,02:09
2,1.730428,2.103844,0.460714,0.697527,0.380799,02:10
3,1.381982,2.032173,0.491758,0.735165,0.411380,02:09
4,1.087409,1.939378,0.520330,0.756319,0.442809,02:09
5,0.877360,2.007630,0.526374,0.761538,0.435658,02:10
6,0.703212,2.055670,0.549176,0.768132,0.454492,02:10
7,0.547812,2.118969,0.568132,0.787912,0.472974,02:10
8,0.444197,2.077800,0.582967,0.791484,0.495921,02:10
9,0.330430,2.124076,0.581593,0.798626,0.489038,02:09
10,0.279236,2.159234,0.595604,0.800275,0.498573,02:09
11,0.216311,2.243896,0.595879,0.802747,0.492211,02:10
12,0.180109,2.253814,0.596703,0.808791,0.499320,02:11
13,0.148380,2.377105,0.595330,0.805769,0.489677,02:08
14,0.129501,2.393072,0.609341,0.803571,0.498819,02:11
15,0.107580,2.389845,0.606868,0.806319,0.502388,02:10
16,0.090748,2.433483,0.617033,0.802747,0.507003,02:11
17,0.080559,2.475084,0.608791,0.808516,0.500506,02:10
18,0.071710,2.483865,0.614011,0.811538,0.507193,02:10
19,0.065365,2.477164,0.617308,0.810440,0.509485,02:12
20,0.061842,2.508266,0.608791,0.806319,0.497759,02:10
21,0.056282,2.512986,0.615110,0.807143,0.506505,02:08
22,0.051570,2.532160,0.615659,0.805495,0.508860,02:10
23,0.046897,2.558913,0.617033,0.810714,0.509076,02:09
24,0.042532,2.578458,0.622802,0.809615,0.512401,02:11
25,0.041682,2.573984,0.624725,0.810989,0.513349,02:10
26,0.037647,2.577086,0.621978,0.810440,0.513017,02:10
27,0.035118,2.604603,0.621978,0.810165,0.513080,02:12
28,0.033999,2.597069,0.622802,0.809341,0.515031,02:11
29,0.032751,2.652662,0.619505,0.809341,0.513441,02:10
