epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,2.044109,1.379426,0.565659,0.779670,0.398485,02:29
1,1.044154,1.221140,0.610440,0.809890,0.476403,02:22
2,0.721366,1.138182,0.637912,0.834615,0.522924,02:24
3,0.492199,1.136278,0.637637,0.837088,0.515086,02:23
4,0.313625,1.167468,0.634341,0.832692,0.518521,02:25
5,0.234450,1.152187,0.656868,0.840934,0.549438,02:25
6,0.108270,1.132842,0.666758,0.850549,0.552820,02:25
7,0.063103,1.145250,0.670879,0.848901,0.556335,02:26
8,0.043569,1.130445,0.671978,0.852198,0.552152,02:24
9,0.028365,1.137258,0.673626,0.853297,0.555878,02:23
10,0.020901,1.143838,0.671154,0.852198,0.554590,02:24
11,0.014599,1.122739,0.672802,0.854396,0.554182,02:24
12,0.012340,1.130915,0.680769,0.853297,0.562149,02:24
13,0.009403,1.131090,0.680495,0.857418,0.564974,02:25
14,0.008601,1.137097,0.676923,0.853022,0.555603,02:25
15,0.007287,1.140776,0.672802,0.853846,0.560690,02:23
16,0.006130,1.127037,0.681868,0.858242,0.567099,02:22
17,0.005754,1.124745,0.681319,0.861264,0.559831,02:27
18,0.005301,1.126168,0.680769,0.858791,0.567766,02:25
19,0.004656,1.128003,0.689560,0.857143,0.575688,02:25
20,0.004475,1.128617,0.680769,0.856319,0.568816,02:26
21,0.004647,1.138278,0.682967,0.856868,0.569283,02:25
22,0.003927,1.143854,0.683791,0.855769,0.571073,02:25
23,0.003458,1.140564,0.683791,0.855769,0.565014,02:24
24,0.003493,1.150039,0.681593,0.857967,0.564133,02:23
25,0.003153,1.138685,0.681593,0.853846,0.560545,02:23
26,0.003287,1.142569,0.683516,0.853846,0.566775,02:26
27,0.002709,1.138098,0.681868,0.853846,0.563910,02:25
28,0.002522,1.134527,0.686264,0.855769,0.566995,02:24
29,0.002511,1.133115,0.687637,0.858516,0.568770,02:23
