epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,2.871659,2.144607,0.438736,0.684066,0.357449,02:27
1,1.572569,1.895937,0.514835,0.741758,0.433331,02:23
2,1.031192,1.840033,0.551374,0.778571,0.472231,02:26
3,0.682676,1.817607,0.598077,0.810440,0.500524,02:24
4,0.428073,1.796458,0.610714,0.820604,0.525346,02:24
5,0.273230,1.854872,0.639560,0.828571,0.551694,02:23
6,0.168197,1.855179,0.646703,0.835165,0.556723,02:25
7,0.100155,1.865298,0.654121,0.846429,0.564412,02:23
8,0.069182,1.936994,0.655495,0.842033,0.562871,02:22
9,0.050228,1.921746,0.667308,0.848077,0.569435,02:22
10,0.038021,1.974062,0.663462,0.840659,0.562139,02:24
11,0.029528,2.009758,0.667033,0.846154,0.560033,02:23
12,0.024733,1.976974,0.669505,0.845604,0.570723,02:26
13,0.020457,1.993876,0.673352,0.842582,0.569856,02:23
14,0.018467,2.012066,0.669505,0.844780,0.561161,02:26
15,0.015310,2.019088,0.668681,0.841758,0.561680,02:24
16,0.013694,2.016839,0.670879,0.844231,0.561437,02:24
17,0.013013,2.039683,0.673626,0.843681,0.570209,02:23
18,0.011808,2.023494,0.676374,0.842582,0.572811,02:21
19,0.011445,2.044662,0.671978,0.843407,0.569302,02:27
20,0.010242,2.047750,0.670055,0.846978,0.569398,02:24
21,0.010200,2.061415,0.670604,0.843956,0.566137,02:22
22,0.009124,2.053806,0.670879,0.847527,0.565736,02:24
23,0.008370,2.041408,0.672802,0.846429,0.569323,02:25
24,0.008002,2.063295,0.673077,0.842857,0.568123,02:26
25,0.008102,2.072295,0.676923,0.845879,0.571788,02:24
26,0.007607,2.052638,0.672802,0.846429,0.567424,02:24
27,0.007112,2.065781,0.674725,0.845055,0.573579,02:25
28,0.006700,2.067923,0.678846,0.846703,0.578262,02:26
29,0.006535,2.076112,0.677198,0.844780,0.573396,02:25
