epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,2.452495,1.742734,0.552473,0.775549,0.425559,02:28
1,1.350317,1.574150,0.606319,0.804121,0.490331,02:26
2,0.960442,1.478162,0.627473,0.823626,0.512060,02:27
3,0.665215,1.510970,0.632418,0.830495,0.515903,02:25
4,0.428186,1.517593,0.633242,0.832418,0.518491,02:26
5,0.248102,1.498535,0.656593,0.845604,0.548180,02:25
6,0.147036,1.555785,0.663736,0.844505,0.550946,02:26
7,0.084658,1.500869,0.676648,0.852747,0.564270,02:27
8,0.055064,1.534623,0.677198,0.855495,0.560470,02:25
9,0.036315,1.532847,0.681319,0.858242,0.565300,02:25
10,0.030164,1.560426,0.678297,0.854945,0.558139,02:24
11,0.023309,1.551697,0.684890,0.859615,0.571782,02:26
12,0.019948,1.556191,0.685989,0.857143,0.570010,02:25
13,0.015978,1.558223,0.685165,0.854396,0.562094,02:26
14,0.014784,1.573226,0.686264,0.858242,0.568975,02:24
15,0.013210,1.595569,0.684066,0.857143,0.569098,02:24
16,0.011298,1.573285,0.682967,0.858242,0.564840,02:28
17,0.010093,1.583270,0.686264,0.863187,0.565742,02:27
18,0.009839,1.587776,0.687912,0.856868,0.573059,02:26
19,0.009169,1.595714,0.690934,0.859615,0.575570,02:25
20,0.008906,1.593576,0.690659,0.860714,0.579834,02:24
21,0.008069,1.593009,0.690934,0.860989,0.576965,02:28
22,0.007336,1.603455,0.688462,0.858516,0.574288,02:22
23,0.007183,1.606078,0.688187,0.857418,0.572429,02:25
24,0.006684,1.618713,0.685714,0.857418,0.574249,02:27
25,0.006740,1.614378,0.687088,0.859066,0.574834,02:26
26,0.006362,1.611912,0.689286,0.860714,0.571561,02:26
27,0.005987,1.609967,0.686813,0.859615,0.570576,02:27
28,0.005678,1.619521,0.687912,0.860714,0.570122,02:25
29,0.005309,1.619810,0.688187,0.858791,0.570154,02:25
