epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,4.011973,2.815961,0.300275,0.529121,0.226122,02:12
1,2.324146,2.234962,0.414835,0.657692,0.338607,02:08
2,1.729011,2.086021,0.461538,0.708791,0.375083,02:09
3,1.384069,2.044672,0.483242,0.726374,0.403131,02:10
4,1.084274,1.942516,0.517857,0.751374,0.440512,02:12
5,0.876268,2.012705,0.529670,0.751099,0.440265,02:11
6,0.698707,2.048919,0.542857,0.767308,0.451091,02:09
7,0.541205,2.067175,0.573077,0.784341,0.481039,02:11
8,0.442983,2.071926,0.581319,0.793132,0.488662,02:10
9,0.337409,2.146632,0.582967,0.794505,0.493364,02:11
10,0.282684,2.143401,0.590659,0.799176,0.492509,02:10
11,0.219310,2.227222,0.596154,0.805220,0.493844,02:09
12,0.178783,2.259137,0.593681,0.801099,0.497272,02:11
13,0.152698,2.343157,0.601099,0.805220,0.490098,02:09
14,0.131517,2.362483,0.609615,0.805769,0.499249,02:10
15,0.106946,2.367675,0.611813,0.804670,0.502283,02:11
16,0.091846,2.406848,0.613462,0.802198,0.504686,02:10
17,0.081110,2.447236,0.617033,0.811264,0.503702,02:11
18,0.073086,2.466720,0.614286,0.813462,0.507415,02:12
19,0.064321,2.462822,0.623352,0.809066,0.514155,02:11
20,0.061000,2.480130,0.617308,0.809341,0.506102,02:09
21,0.055202,2.480682,0.615110,0.810714,0.507910,02:11
22,0.050341,2.505663,0.614011,0.810440,0.508630,02:09
23,0.046380,2.536519,0.617033,0.810440,0.509171,02:10
24,0.041747,2.549302,0.623077,0.809341,0.509630,02:12
25,0.041446,2.546236,0.622253,0.810440,0.511012,02:12
26,0.037409,2.550616,0.618681,0.811538,0.507742,02:12
27,0.035193,2.568022,0.619505,0.810714,0.510143,02:12
28,0.034492,2.573328,0.622802,0.811264,0.510341,02:12
29,0.033279,2.625339,0.624725,0.811813,0.512803,02:12
