epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,2.151081,1.162056,0.756968,0.861860,0.433895,0.486264,31:00
1,1.533657,0.927723,0.767377,0.890533,0.548099,0.552252,27:57
2,1.292901,0.750294,0.804400,0.924353,0.608071,0.609402,28:42
3,1.129749,0.742804,0.831853,0.921112,0.656497,0.653200,28:18
4,0.992077,0.646709,0.845350,0.933923,0.675970,0.655632,28:35
5,0.875774,0.674553,0.837610,0.933237,0.686675,0.667061,28:36
6,0.768281,0.581719,0.852900,0.940939,0.704768,0.687470,28:57
7,0.686899,0.622488,0.837572,0.940557,0.704942,0.682912,28:29
8,0.595025,0.691888,0.839860,0.941816,0.690044,0.688880,28:49
9,0.477251,0.678690,0.833988,0.946391,0.706970,0.676867,28:50
10,0.411111,0.791124,0.854005,0.930225,0.713751,0.671611,28:18
11,0.314585,0.736544,0.850955,0.936287,0.719175,0.696821,28:43
12,0.288593,0.774415,0.849239,0.935791,0.720700,0.710172,28:35
13,0.205286,0.825972,0.861250,0.933046,0.721146,0.686108,28:31
14,0.173089,0.687239,0.865101,0.948031,0.725595,0.708756,28:55
15,0.127865,0.731677,0.876539,0.933961,0.736994,0.728548,28:45
16,0.105716,0.888707,0.844740,0.936973,0.728919,0.723805,28:52
17,0.079219,0.817090,0.872765,0.939642,0.742869,0.702648,28:36
18,0.065968,0.700830,0.867732,0.952492,0.734447,0.711677,28:36
19,0.050449,0.737653,0.867732,0.938918,0.735206,0.710348,28:32
20,0.042861,0.894637,0.871354,0.929729,0.737095,0.693076,28:37
21,0.033962,0.678556,0.876616,0.954207,0.747743,0.723192,28:31
22,0.028882,0.785498,0.874747,0.939871,0.742130,0.733269,28:34
23,0.024298,0.804820,0.881839,0.940748,0.748137,0.712915,28:31
24,0.021840,0.828587,0.875091,0.942502,0.750009,0.730653,28:28
25,0.017612,0.745088,0.880657,0.956038,0.752009,0.738257,28:23
26,0.015522,0.791099,0.875472,0.943341,0.755308,0.730072,28:39
27,0.013581,0.839022,0.878370,0.942083,0.751737,0.741609,28:30
28,0.012906,0.778138,0.875586,0.944790,0.750377,0.733442,28:17
29,0.011189,0.794363,0.878637,0.942159,0.752045,0.738877,28:30
