epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,4.020246,2.848495,0.301099,0.528846,0.235122,02:23
1,2.398856,2.270842,0.408516,0.641758,0.331151,02:20
2,1.817952,2.064001,0.460440,0.700549,0.382233,02:21
3,1.450120,2.038475,0.483516,0.719505,0.401924,02:23
4,1.174420,1.995192,0.519505,0.750549,0.436104,02:22
5,0.951248,2.051137,0.523901,0.751923,0.431419,02:21
6,0.775997,2.066778,0.550275,0.775275,0.455143,02:21
7,0.608914,2.061148,0.561813,0.781319,0.471583,02:21
8,0.489469,2.183860,0.567033,0.784341,0.467743,02:21
9,0.387714,2.237793,0.575000,0.789560,0.471371,02:20
10,0.313646,2.226451,0.587912,0.798626,0.491481,02:19
11,0.246995,2.300213,0.585165,0.798901,0.488080,02:20
12,0.201112,2.298433,0.596703,0.799451,0.501738,02:22
13,0.168117,2.354784,0.590385,0.806044,0.488537,02:22
14,0.144777,2.406562,0.601923,0.809615,0.500920,02:22
15,0.118550,2.436976,0.603846,0.809615,0.496033,02:22
16,0.105751,2.469869,0.601648,0.805495,0.494120,02:22
17,0.093855,2.455727,0.607692,0.812912,0.502704,02:19
18,0.081558,2.487435,0.611264,0.804670,0.505696,02:22
19,0.072954,2.498560,0.606044,0.807143,0.499581,02:20
20,0.065386,2.483854,0.610989,0.808242,0.504128,02:20
21,0.059275,2.528184,0.614835,0.808242,0.507634,02:20
22,0.055337,2.535070,0.612637,0.809615,0.505476,02:19
23,0.049913,2.554486,0.610440,0.806593,0.506026,02:20
24,0.046962,2.575642,0.613462,0.806319,0.509117,02:21
25,0.043095,2.583076,0.620055,0.809066,0.510817,02:20
26,0.040998,2.590662,0.612363,0.809341,0.506216,02:20
27,0.038360,2.581523,0.608516,0.810714,0.505493,02:23
28,0.034844,2.611630,0.611538,0.806868,0.505723,02:20
29,0.035134,2.637177,0.614011,0.806593,0.502103,02:22
