epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,3.958424,2.761054,0.310989,0.550275,0.240270,02:01
1,2.292766,2.229229,0.417857,0.667857,0.334677,01:56
2,1.697011,2.007950,0.470604,0.708516,0.387884,01:56
3,1.318207,2.006828,0.500824,0.724725,0.417939,01:56
4,1.034613,1.978344,0.521703,0.753571,0.442189,01:56
5,0.820288,2.063045,0.537088,0.764286,0.435049,01:55
6,0.641555,2.028052,0.565385,0.781044,0.470315,01:56
7,0.485112,2.083821,0.566484,0.787637,0.475252,01:57
8,0.367174,2.158335,0.576374,0.790659,0.482121,01:56
9,0.279187,2.229521,0.590110,0.792308,0.484440,01:55
10,0.217644,2.225323,0.593681,0.801648,0.500537,01:57
11,0.172425,2.294630,0.598077,0.806044,0.496827,01:55
12,0.136925,2.338601,0.603846,0.802473,0.497974,01:56
13,0.113301,2.375858,0.602198,0.805495,0.497866,01:55
14,0.091707,2.437840,0.608791,0.807143,0.498690,01:54
15,0.075949,2.488875,0.605769,0.800549,0.500239,01:55
16,0.067331,2.495539,0.605495,0.806044,0.501441,01:56
17,0.058366,2.537382,0.606593,0.801374,0.497379,01:57
18,0.051707,2.555030,0.611264,0.804396,0.500231,01:56
19,0.045870,2.570599,0.611538,0.806593,0.503531,01:54
20,0.040837,2.563901,0.613736,0.805220,0.506528,01:57
21,0.038322,2.592694,0.615385,0.808791,0.503161,01:55
22,0.036328,2.592103,0.609890,0.807967,0.496978,01:56
23,0.032307,2.624210,0.611264,0.806593,0.504177,01:55
24,0.031165,2.624159,0.609341,0.804396,0.500747,01:58
25,0.029456,2.648859,0.610440,0.807143,0.502535,01:56
26,0.026433,2.647486,0.610165,0.804396,0.497768,01:56
27,0.025815,2.633530,0.609066,0.805495,0.501145,01:56
28,0.023520,2.669762,0.613462,0.807418,0.504107,01:56
29,0.023100,2.708467,0.612363,0.803571,0.501004,01:56
