epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,4.062915,2.871499,0.286264,0.528297,0.220855,02:10
1,2.470545,2.247453,0.417857,0.651374,0.334223,02:08
2,1.904995,2.076750,0.459341,0.692857,0.384329,02:08
3,1.559248,1.997211,0.491758,0.723077,0.406448,02:11
4,1.305293,1.957680,0.516758,0.748626,0.430441,02:10
5,1.095980,2.010207,0.534066,0.757967,0.441473,02:09
6,0.924727,1.984462,0.552747,0.782692,0.459409,02:09
7,0.768204,2.021687,0.562637,0.776648,0.475155,02:08
8,0.643038,2.084947,0.555220,0.782967,0.453751,02:07
9,0.532167,2.094264,0.573626,0.792857,0.476244,02:07
10,0.455275,2.107068,0.592308,0.806868,0.499114,02:07
11,0.387061,2.165263,0.597802,0.806044,0.507014,02:07
12,0.332645,2.195775,0.603297,0.806593,0.507826,02:06
13,0.290356,2.217268,0.611813,0.809341,0.512862,02:07
14,0.254021,2.295602,0.607967,0.809341,0.504134,02:09
15,0.224428,2.321526,0.603571,0.811813,0.491634,02:07
16,0.196738,2.325584,0.612363,0.813462,0.509930,02:08
17,0.176844,2.333921,0.620604,0.812363,0.519824,02:08
18,0.157570,2.374504,0.624176,0.815934,0.518648,02:06
19,0.149380,2.357151,0.615659,0.817033,0.513669,02:07
20,0.132350,2.366824,0.616484,0.816209,0.513849,02:06
21,0.125554,2.417458,0.621429,0.812363,0.511225,02:07
22,0.112440,2.437239,0.631044,0.814835,0.522189,02:07
23,0.100224,2.480480,0.625000,0.816758,0.516796,02:07
24,0.098201,2.448363,0.632143,0.815385,0.524645,02:05
25,0.091108,2.479015,0.631319,0.816484,0.526612,02:06
26,0.083123,2.514223,0.631319,0.816209,0.518205,02:07
27,0.083563,2.482567,0.632143,0.814011,0.522758,02:07
28,0.073355,2.514409,0.630769,0.814835,0.518381,02:08
29,0.071260,2.554957,0.633791,0.812912,0.524550,02:07
