epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,3.997153,2.854529,0.292308,0.525275,0.224625,02:06
1,2.354337,2.287291,0.391758,0.639286,0.316547,02:04
2,1.819917,2.082563,0.443132,0.692582,0.369861,02:05
3,1.484880,2.037610,0.476648,0.728571,0.394142,02:04
4,1.236095,2.044991,0.500000,0.730769,0.421088,02:04
5,1.035931,2.036544,0.521703,0.756868,0.423488,02:02
6,0.876710,2.010365,0.548352,0.773901,0.452480,02:02
7,0.749328,2.041478,0.544505,0.767033,0.466964,02:04
8,0.638429,2.102316,0.546154,0.775000,0.457594,02:03
9,0.522950,2.128706,0.575000,0.782692,0.486640,02:05
10,0.434063,2.111215,0.580769,0.796978,0.488557,02:05
11,0.343151,2.158201,0.590934,0.801374,0.502892,02:03
12,0.299600,2.247297,0.596154,0.802473,0.498833,02:03
13,0.250114,2.238319,0.604121,0.807418,0.507066,02:06
14,0.212085,2.266334,0.607692,0.808516,0.507314,02:03
15,0.177831,2.305579,0.607967,0.809341,0.511956,02:04
16,0.157170,2.300226,0.616484,0.812637,0.516504,02:04
17,0.131995,2.357084,0.617033,0.808791,0.520434,02:02
18,0.115646,2.390797,0.618407,0.813462,0.522184,02:04
19,0.100781,2.413535,0.620055,0.814011,0.523671,02:04
20,0.096294,2.377071,0.621429,0.812912,0.530749,02:04
21,0.083977,2.416076,0.622527,0.818132,0.520665,02:04
22,0.079588,2.436920,0.625549,0.813187,0.529461,02:03
23,0.068482,2.467804,0.628571,0.816758,0.532756,02:02
24,0.064241,2.480687,0.623352,0.812088,0.523461,02:04
25,0.060135,2.484545,0.625824,0.818132,0.529213,02:03
26,0.055863,2.470361,0.627473,0.823077,0.531108,02:02
27,0.053224,2.491303,0.622802,0.816758,0.525951,02:03
28,0.048174,2.532196,0.627747,0.818407,0.524518,02:03
29,0.046730,2.547342,0.625275,0.817033,0.526022,02:02
