epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,3.601072,2.339168,0.470535,0.658782,0.266591,41:34
1,2.031435,1.878596,0.553761,0.741029,0.391317,18:32
2,1.621263,1.699183,0.589207,0.772555,0.453840,17:54
3,1.380715,1.587145,0.613705,0.791681,0.492279,17:46
4,1.210301,1.542081,0.623572,0.800230,0.506188,17:56
5,1.071036,1.494586,0.637595,0.808846,0.525098,17:52
6,0.953808,1.477512,0.642529,0.813003,0.533523,17:48
7,0.853252,1.514074,0.641076,0.810333,0.536866,17:48
8,0.763579,1.499292,0.641042,0.816111,0.536923,17:57
9,0.647383,1.465350,0.654795,0.823714,0.557427,17:46
10,0.576634,1.506244,0.651281,0.823343,0.556891,18:32
11,0.511265,1.526042,0.655741,0.822430,0.556073,18:23
12,0.427766,1.525460,0.657431,0.823140,0.558797,18:32
13,0.378327,1.562218,0.658073,0.823512,0.559698,18:19
14,0.316703,1.559605,0.659593,0.826654,0.560689,18:04
15,0.279568,1.583045,0.660776,0.825302,0.568107,17:58
16,0.232861,1.595909,0.664797,0.827364,0.570616,18:16
17,0.204733,1.632240,0.661925,0.826113,0.568246,18:14
18,0.171504,1.625285,0.669764,0.830540,0.574963,18:32
19,0.152989,1.643142,0.668818,0.828546,0.573446,18:08
20,0.129150,1.663761,0.672467,0.830067,0.578486,18:25
21,0.115086,1.679084,0.670406,0.830236,0.576856,18:08
22,0.099321,1.681223,0.674056,0.830439,0.579790,18:14
23,0.090155,1.685842,0.672670,0.831317,0.577710,18:13
24,0.079256,1.685496,0.675914,0.832872,0.582065,18:17
25,0.073375,1.733415,0.673447,0.829932,0.579084,17:58
26,0.066141,1.719173,0.671724,0.832331,0.576759,17:58
27,0.061001,1.722870,0.674427,0.832534,0.579495,18:06
28,0.055136,1.745184,0.674833,0.833142,0.577748,18:27
29,0.052133,1.742023,0.676522,0.833074,0.582066,18:09
