epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,4.977776,3.301003,0.272734,0.434895,0.100080,0.089547,05:12
1,3.467986,2.363164,0.385595,0.631449,0.210379,0.234594,05:09
2,2.915808,1.953585,0.513745,0.767682,0.298630,0.354243,05:06
3,2.555396,1.867021,0.516262,0.823731,0.353136,0.313679,05:07
4,2.292977,1.548345,0.567354,0.797613,0.415489,0.455153,05:12
5,2.076337,1.628311,0.580814,0.805963,0.441818,0.433174,05:09
6,1.880539,1.459753,0.587639,0.802379,0.470838,0.456526,05:10
7,1.711250,1.386657,0.602623,0.840279,0.477331,0.482740,05:07
8,1.564555,1.393568,0.624623,0.828879,0.501481,0.523312,05:07
9,1.427063,1.405155,0.614672,0.823236,0.510792,0.512106,05:10
10,1.244022,1.473937,0.588554,0.806154,0.521983,0.461734,05:09
11,1.122461,1.235124,0.656613,0.892287,0.539511,0.466372,05:07
12,1.016105,1.388330,0.654707,0.831967,0.526036,0.423060,05:08
13,0.926830,1.290227,0.647424,0.853662,0.540272,0.511375,05:08
14,0.788778,1.276155,0.669882,0.885995,0.550791,0.494804,05:10
15,0.711378,1.295439,0.641514,0.890342,0.545482,0.483350,05:11
16,0.616756,1.281621,0.693484,0.889274,0.560464,0.566908,05:09
17,0.551692,1.337343,0.636138,0.889884,0.545036,0.480274,05:06
18,0.478984,1.266321,0.700080,0.893621,0.575915,0.541337,05:09
19,0.421706,1.286852,0.671369,0.883059,0.561974,0.504850,05:06
20,0.372060,1.327557,0.629961,0.884508,0.559096,0.455717,05:06
21,0.347614,1.281202,0.671255,0.879819,0.561552,0.480967,05:05
22,0.309343,1.309162,0.646281,0.871583,0.557355,0.479675,05:11
23,0.280617,1.313027,0.657757,0.850917,0.569804,0.506388,05:09
24,0.251793,1.331526,0.623213,0.863118,0.556310,0.521257,05:05
25,0.233031,1.451789,0.652610,0.875510,0.573022,0.505584,05:12
26,0.205888,1.310195,0.638235,0.873184,0.551783,0.490658,05:05
27,0.192138,1.315830,0.597857,0.886720,0.557951,0.453811,05:12
28,0.173023,1.294569,0.660312,0.884051,0.561797,0.500219,05:03
29,0.165595,1.358123,0.590308,0.839364,0.555850,0.466356,05:06
