epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,4.911191,3.228139,0.282381,0.477142,0.104732,0.087629,05:12
1,3.369915,2.420437,0.371182,0.631792,0.224791,0.225730,05:08
2,2.811947,1.959074,0.507187,0.726923,0.320852,0.348047,05:11
3,2.448524,1.921867,0.498761,0.764136,0.357223,0.352397,05:12
4,2.187786,1.575333,0.561254,0.804896,0.418279,0.425671,05:07
5,1.970716,1.754853,0.578183,0.793610,0.434737,0.381123,05:13
6,1.776774,1.474204,0.603767,0.820300,0.479763,0.446182,05:05
7,1.605621,1.410940,0.617989,0.842643,0.486908,0.448620,05:07
8,1.457813,1.400164,0.631487,0.834789,0.515056,0.487012,05:08
9,1.322827,1.431000,0.610821,0.832272,0.508713,0.473340,05:06
10,1.196545,1.551130,0.578297,0.827392,0.515862,0.470764,05:11
11,1.029129,1.236415,0.639417,0.834903,0.528248,0.495174,05:07
12,0.921431,1.573062,0.575704,0.801312,0.530325,0.520012,05:10
13,0.831139,1.291240,0.602547,0.857094,0.566982,0.554162,05:06
14,0.700860,1.329870,0.598277,0.854005,0.566177,0.580995,05:10
15,0.623655,1.393156,0.602280,0.878179,0.568338,0.585590,05:07
16,0.535039,1.338062,0.625157,0.861517,0.576239,0.589790,05:11
17,0.476820,1.439758,0.556221,0.838144,0.551716,0.510794,05:06
18,0.405305,1.360861,0.631601,0.837038,0.582081,0.576956,05:05
19,0.363693,1.312603,0.647920,0.854234,0.586612,0.568307,05:06
20,0.316058,1.323281,0.628970,0.899264,0.576101,0.534712,05:11
21,0.289713,1.301678,0.671941,0.863614,0.583622,0.578815,05:11
22,0.254054,1.268629,0.650475,0.898616,0.579020,0.614851,05:11
23,0.233201,1.393007,0.625005,0.850650,0.575000,0.572157,05:08
24,0.205480,1.284862,0.628474,0.865635,0.574281,0.555396,05:10
25,0.189569,1.372264,0.632630,0.868914,0.597476,0.581552,05:07
26,0.167370,1.282281,0.603615,0.857284,0.579909,0.565143,05:08
27,0.157364,1.346087,0.654593,0.888893,0.587593,0.589235,05:11
28,0.138493,1.306369,0.605750,0.860259,0.590216,0.578359,05:13
29,0.133584,1.339499,0.676478,0.853853,0.603294,0.594450,05:09
