epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,4.903090,3.248303,0.278454,0.480535,0.101389,0.077075,05:43
1,3.344416,2.363229,0.410836,0.633584,0.223516,0.247001,05:37
2,2.759681,1.982679,0.517787,0.747703,0.311592,0.417602,05:42
3,2.378219,1.870586,0.509971,0.784764,0.362174,0.382286,05:40
4,2.092019,1.533860,0.600907,0.812445,0.427186,0.452075,05:41
5,1.849646,1.655337,0.538796,0.769894,0.427660,0.406877,05:42
6,1.631859,1.454714,0.600869,0.844054,0.472519,0.470719,05:43
7,1.438293,1.504537,0.631105,0.817288,0.501572,0.502843,05:42
8,1.272310,1.375937,0.593434,0.860907,0.497868,0.511424,05:44
9,1.117271,1.694224,0.577611,0.814885,0.501861,0.487825,05:39
10,0.962209,1.398648,0.588134,0.872727,0.509379,0.533678,05:39
11,0.771956,1.348503,0.633546,0.868113,0.527103,0.545310,05:41
12,0.650693,1.525300,0.592443,0.782705,0.514378,0.541347,05:42
13,0.551139,1.364877,0.644183,0.881649,0.543884,0.515697,05:42
14,0.427563,1.421871,0.591452,0.831319,0.542885,0.534127,05:40
15,0.342966,1.429169,0.591490,0.874709,0.552073,0.581466,05:38
16,0.267039,1.403392,0.613986,0.874023,0.557984,0.554627,05:41
17,0.216517,1.377884,0.629656,0.810424,0.567382,0.575756,05:43
18,0.167440,1.362222,0.635071,0.879323,0.558961,0.563547,05:43
19,0.138323,1.422336,0.656728,0.868113,0.553914,0.565249,05:40
20,0.112074,1.474590,0.652648,0.872078,0.561488,0.551377,05:43
21,0.094608,1.566634,0.558242,0.824532,0.559960,0.547064,05:41
22,0.080243,1.483454,0.571930,0.861288,0.560376,0.589421,05:41
23,0.071074,1.547682,0.614939,0.833492,0.571886,0.599589,05:40
24,0.060418,1.487308,0.612270,0.823464,0.569918,0.601877,05:43
25,0.054525,1.489278,0.610935,0.820833,0.571137,0.548804,05:43
26,0.047804,1.483336,0.619705,0.860754,0.579690,0.563238,05:39
27,0.042507,1.513083,0.624585,0.867503,0.573845,0.586727,05:42
28,0.039787,1.485577,0.645289,0.826057,0.573753,0.579955,05:40
29,0.035936,1.467353,0.648111,0.832425,0.576911,0.603487,05:36
