epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,3.858217,2.149104,0.476227,0.687688,0.282692,0.303666,05:58
1,2.593273,1.751399,0.568612,0.769398,0.426431,0.417913,05:55
2,2.043039,1.564082,0.618103,0.794067,0.513874,0.481730,05:57
3,1.637448,1.641758,0.573150,0.792504,0.525594,0.504875,05:54
4,1.281259,1.664164,0.613757,0.765394,0.583311,0.531934,05:52
5,0.902453,1.598824,0.659778,0.786746,0.592446,0.539445,05:58
6,0.628291,1.664071,0.601289,0.793114,0.581202,0.522472,05:55
7,0.365457,1.694879,0.652305,0.811416,0.601132,0.548260,05:56
8,0.219587,1.713255,0.628894,0.810386,0.617144,0.550899,05:57
9,0.120619,1.653267,0.656575,0.823655,0.622651,0.533066,05:54
10,0.081543,1.684167,0.678881,0.813665,0.628992,0.565767,05:53
11,0.054344,1.647544,0.709688,0.831090,0.635986,0.571192,05:54
12,0.039996,1.632201,0.690472,0.821253,0.631509,0.572957,05:54
13,0.030400,1.724645,0.654593,0.831967,0.633531,0.556893,05:52
14,0.024827,1.791237,0.666451,0.814199,0.641408,0.558981,05:58
15,0.021225,1.731836,0.693179,0.825485,0.638160,0.563543,05:52
16,0.019217,1.713464,0.681664,0.821710,0.643188,0.561678,05:56
17,0.016688,1.791450,0.663782,0.825523,0.639209,0.555804,05:54
18,0.014598,1.720010,0.673161,0.825943,0.637345,0.554659,05:56
19,0.013482,1.729370,0.694094,0.829832,0.642018,0.555842,05:55
20,0.011970,1.712681,0.672513,0.825104,0.639298,0.558376,05:56
21,0.011542,1.757765,0.663667,0.822282,0.641853,0.555836,05:54
22,0.010529,1.793080,0.662447,0.815000,0.640745,0.571299,05:56
23,0.010021,1.744750,0.701415,0.820910,0.643306,0.572733,05:51
24,0.009163,1.769695,0.698707,0.818050,0.645956,0.573675,05:52
25,0.008761,1.745057,0.715293,0.828002,0.646616,0.573095,05:55
26,0.008012,1.794912,0.707668,0.824074,0.641374,0.569663,05:53
27,0.008126,1.759023,0.709460,0.825028,0.644888,0.575977,05:56
28,0.007532,1.749698,0.709688,0.823426,0.646566,0.574986,05:52
29,0.007384,1.769702,0.706905,0.817249,0.642018,0.575127,05:54
