epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,5.001876,3.228619,0.246997,0.451176,0.092783,0.103916,05:21
1,3.481919,2.567896,0.374957,0.632287,0.208086,0.253243,05:20
2,2.898829,2.239717,0.416670,0.666718,0.285134,0.287902,05:21
3,2.525100,1.908992,0.483814,0.748351,0.363023,0.358224,05:29
4,2.232365,1.980007,0.453273,0.709612,0.400532,0.350198,05:12
5,1.993823,1.752165,0.546345,0.748542,0.452383,0.424093,05:16
6,1.782911,1.919319,0.475235,0.718420,0.430014,0.394228,05:13
7,1.595892,1.551281,0.598010,0.790636,0.485707,0.494247,05:15
8,1.421592,1.693826,0.582873,0.750334,0.487515,0.415593,05:18
9,1.262540,1.509913,0.579212,0.806001,0.499949,0.463355,05:13
10,1.109145,1.606034,0.602852,0.788310,0.496040,0.476394,05:18
11,0.977568,1.449261,0.632325,0.837610,0.518897,0.452447,05:12
12,0.854769,1.686368,0.581309,0.808137,0.514996,0.423182,05:12
13,0.743051,1.755764,0.569871,0.774965,0.503159,0.430493,05:25
14,0.591686,1.588720,0.609029,0.768292,0.521137,0.425389,05:19
15,0.493960,1.364748,0.662638,0.838449,0.532138,0.454765,05:13
16,0.427026,1.430441,0.618828,0.843978,0.524883,0.481144,05:14
17,0.363020,1.668418,0.571015,0.796965,0.528427,0.474207,05:20
18,0.288078,1.526604,0.608304,0.802494,0.532655,0.466356,05:27
19,0.233428,1.452841,0.686468,0.830518,0.548252,0.496195,05:10
20,0.185207,1.398529,0.644145,0.859153,0.556566,0.506907,05:13
21,0.150511,1.538119,0.648835,0.801655,0.558764,0.500914,05:12
22,0.125207,1.495984,0.668548,0.792161,0.566096,0.520912,05:12
23,0.104470,1.550666,0.642925,0.808099,0.553789,0.489039,05:12
24,0.090954,1.429126,0.651771,0.816411,0.569076,0.517930,05:09
25,0.078210,1.474646,0.615816,0.838449,0.552966,0.499112,05:11
26,0.066437,1.493869,0.661799,0.826820,0.558346,0.502873,05:27
27,0.062512,1.401306,0.673657,0.860716,0.562590,0.502946,05:14
28,0.053942,1.500077,0.607313,0.809738,0.559276,0.499683,05:15
29,0.049999,1.422827,0.670187,0.840813,0.569057,0.505953,05:14
