epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,3.808191,2.113327,0.485149,0.687688,0.273366,0.275507,05:29
1,2.575389,1.685298,0.619285,0.765318,0.433699,0.412466,05:24
2,2.041269,1.587919,0.599344,0.779273,0.482090,0.434375,05:23
3,1.645620,1.505240,0.587219,0.812712,0.528953,0.446343,05:31
4,1.290296,1.503630,0.635300,0.795059,0.565613,0.517675,05:27
5,0.989090,1.548152,0.609296,0.779311,0.575979,0.530315,05:26
6,0.705405,1.531153,0.634766,0.792847,0.575579,0.499420,05:27
7,0.418395,1.578075,0.627559,0.793800,0.594902,0.518183,05:17
8,0.244175,1.487563,0.673657,0.793838,0.612142,0.556934,05:21
9,0.153332,1.622578,0.668624,0.812445,0.631344,0.596082,05:24
10,0.100002,1.496132,0.641553,0.794982,0.618344,0.567192,05:28
11,0.063440,1.674042,0.659740,0.814008,0.621601,0.578171,05:25
12,0.044117,1.770520,0.643383,0.808899,0.621026,0.543422,05:26
13,0.030056,1.580688,0.681855,0.830899,0.630760,0.548026,05:26
14,0.024420,1.656857,0.658749,0.823693,0.626945,0.542271,05:21
15,0.018445,1.635112,0.668853,0.798719,0.632414,0.552447,05:23
16,0.015464,1.700863,0.658329,0.811034,0.630129,0.543468,05:28
17,0.014052,1.746605,0.647234,0.807946,0.625602,0.537170,05:23
18,0.012894,1.746021,0.651466,0.815534,0.625338,0.542240,05:24
19,0.010697,1.731094,0.658024,0.820681,0.626259,0.537148,05:22
20,0.009558,1.756053,0.649483,0.814275,0.622483,0.532905,05:23
21,0.009258,1.720688,0.647653,0.805353,0.624306,0.528132,05:22
22,0.008946,1.726637,0.650437,0.821634,0.624660,0.550158,05:25
23,0.007754,1.645648,0.650742,0.810043,0.625433,0.529077,05:34
24,0.007439,1.685745,0.654974,0.802646,0.627113,0.549241,05:29
25,0.006501,1.689043,0.660388,0.805582,0.627142,0.533959,05:29
26,0.006712,1.637359,0.641209,0.798910,0.616261,0.519799,05:25
27,0.006217,1.712662,0.646738,0.805544,0.625279,0.526116,05:22
28,0.005919,1.671949,0.652801,0.821901,0.621717,0.537300,05:40
29,0.005531,1.708459,0.663972,0.801388,0.633404,0.535215,05:36
