epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,5.332810,3.619054,0.210699,0.374957,0.118402,0.101852,05:18
1,3.663798,2.708119,0.310024,0.540931,0.250912,0.266833,05:21
2,3.010614,2.331630,0.343005,0.639494,0.328757,0.322647,05:15
3,2.590684,2.068263,0.402028,0.685553,0.389356,0.298567,05:17
4,2.262454,2.032316,0.412361,0.716933,0.427552,0.374454,05:20
5,1.993804,1.875054,0.499828,0.751401,0.454784,0.352617,05:19
6,1.752893,2.008550,0.425287,0.712281,0.444682,0.414650,05:21
7,1.535481,1.848274,0.484653,0.725779,0.489921,0.397693,05:23
8,1.347690,1.911996,0.450452,0.695161,0.478776,0.453754,05:21
9,1.163106,1.684657,0.503946,0.772448,0.489913,0.433150,05:19
10,1.012862,1.657767,0.519808,0.774431,0.508108,0.408017,05:20
11,0.881075,1.605556,0.541541,0.817288,0.505056,0.444871,05:17
12,0.757610,1.884390,0.497426,0.759904,0.510705,0.464069,05:39
13,0.655776,1.684639,0.554276,0.787242,0.514149,0.468510,05:20
14,0.519280,1.566147,0.587219,0.821787,0.529013,0.471287,05:18
15,0.432788,1.631762,0.574027,0.848324,0.539725,0.486000,05:23
16,0.374468,1.646494,0.561559,0.828154,0.529661,0.473757,05:28
17,0.293132,1.616024,0.566134,0.849582,0.541748,0.493181,05:30
18,0.254279,1.592509,0.608571,0.832158,0.535437,0.465920,05:24
19,0.200554,1.551532,0.613871,0.851946,0.537853,0.475080,05:27
20,0.168659,1.597669,0.584855,0.849125,0.534405,0.501310,05:21
21,0.149711,1.588095,0.579860,0.852061,0.547524,0.485080,05:15
22,0.128707,1.600643,0.605597,0.819385,0.537468,0.490839,05:21
23,0.113727,1.519678,0.630457,0.842796,0.538223,0.484035,05:31
24,0.102123,1.504872,0.633660,0.861517,0.558761,0.492573,05:17
25,0.088807,1.545168,0.579250,0.846952,0.541403,0.481352,05:13
26,0.079635,1.552707,0.581309,0.863233,0.536729,0.472034,05:09
27,0.074546,1.495735,0.633812,0.859763,0.554995,0.495574,05:25
28,0.064419,1.602086,0.581614,0.846875,0.541667,0.486328,05:33
29,0.062619,1.587024,0.590079,0.817249,0.545274,0.497344,05:26
