epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,6.670739,6.646599,0.000229,0.001068,0.000002,0.000002,05:56
1,6.625863,6.578528,0.000572,0.002097,0.000061,0.000067,05:59
2,6.552421,6.489704,0.000763,0.003241,0.000253,0.000083,05:57
3,6.467529,6.400935,0.001640,0.004118,0.000596,0.001103,05:55
4,6.380529,6.387626,0.001983,0.006520,0.000822,0.000405,05:59
5,6.285214,6.269820,0.002326,0.005681,0.002009,0.000946,05:57
6,6.178436,6.307164,0.004957,0.010600,0.004921,0.002659,05:56
7,6.026442,6.193280,0.004575,0.013879,0.005497,0.002460,05:56
8,5.776961,5.925130,0.009647,0.023297,0.015414,0.010332,05:57
9,5.366994,5.225706,0.032905,0.077516,0.044902,0.030404,05:55
10,4.670118,4.429524,0.080871,0.195638,0.101780,0.070034,05:53
11,3.833056,4.123710,0.111717,0.205247,0.167013,0.123234,05:53
12,3.000989,3.605515,0.165745,0.370000,0.224650,0.150126,05:54
13,2.209571,3.233216,0.242308,0.457429,0.281428,0.244564,05:55
14,1.556510,3.010924,0.318755,0.498608,0.357436,0.265666,05:53
15,1.080532,2.866536,0.393106,0.591070,0.401992,0.294697,06:29
16,0.730665,2.752374,0.439433,0.591718,0.433235,0.379645,05:54
17,0.499880,2.782070,0.450871,0.663705,0.439530,0.420953,05:55
18,0.359800,2.814550,0.432913,0.631296,0.431412,0.384304,06:16
19,0.216383,2.739753,0.482404,0.687269,0.450415,0.394323,05:56
20,0.144162,2.782945,0.500400,0.675487,0.447065,0.415206,05:56
21,0.095729,2.827413,0.484119,0.659969,0.445113,0.388773,05:56
22,0.060652,2.835544,0.470813,0.687688,0.453008,0.439474,05:57
23,0.046394,2.881321,0.446525,0.666984,0.445393,0.390651,05:56
24,0.032392,2.890421,0.464712,0.675296,0.444703,0.391651,05:55
25,0.029236,2.904150,0.451367,0.672094,0.439886,0.379492,05:56
26,0.021881,2.877656,0.483204,0.679605,0.439557,0.372274,05:58
27,0.020451,2.927655,0.467533,0.670759,0.434305,0.360581,05:51
28,0.019876,2.974220,0.438479,0.666641,0.441473,0.376975,05:55
29,0.017276,2.970107,0.486102,0.672818,0.436376,0.393446,05:53
