epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,6.503169,5.184714,0.024631,0.088230,0.023578,0.021830,05:42
1,4.236981,2.839598,0.253899,0.503069,0.285101,0.278249,05:37
2,2.807809,2.313160,0.370382,0.622450,0.405277,0.396907,05:41
3,2.012068,2.151463,0.386624,0.658596,0.458134,0.391594,05:39
4,1.403002,1.847421,0.498113,0.742975,0.519570,0.489796,05:35
5,0.948067,1.742613,0.502459,0.735921,0.540153,0.523254,05:34
6,0.659666,1.778836,0.522096,0.713768,0.568222,0.553289,05:38
7,0.455198,1.666203,0.551111,0.779235,0.576891,0.549413,05:38
8,0.321451,1.736607,0.570481,0.770313,0.597155,0.550320,05:38
9,0.222607,1.682711,0.575628,0.828192,0.586810,0.519530,05:36
10,0.149328,1.660422,0.596408,0.789949,0.601803,0.554646,05:40
11,0.103640,1.815852,0.602623,0.768178,0.605666,0.550636,05:37
12,0.077763,1.814539,0.590651,0.830976,0.599426,0.538117,05:36
13,0.054500,1.790842,0.597972,0.795516,0.597854,0.555760,05:35
14,0.041909,1.811160,0.596866,0.830442,0.597180,0.521812,05:37
15,0.032802,1.756752,0.617532,0.789759,0.597459,0.550596,05:37
16,0.029656,1.821248,0.608343,0.827392,0.598063,0.540607,05:35
17,0.022368,1.816055,0.606741,0.813703,0.599563,0.552481,05:36
18,0.019246,1.828381,0.624509,0.830747,0.602610,0.545361,05:38
19,0.015982,1.828156,0.620696,0.807793,0.598410,0.543806,05:37
20,0.015474,1.841966,0.607275,0.806116,0.602872,0.558352,05:36
21,0.015212,1.837145,0.605407,0.814580,0.602114,0.552705,05:35
22,0.013321,1.853704,0.603615,0.830556,0.600815,0.547474,05:36
23,0.012474,1.850628,0.589354,0.832158,0.601138,0.545944,05:39
24,0.011139,1.872553,0.613452,0.804629,0.606334,0.558367,05:38
25,0.011012,1.861961,0.611355,0.804286,0.605188,0.539229,05:38
26,0.010616,1.859917,0.603729,0.823388,0.601002,0.552779,05:33
27,0.009519,1.851091,0.608876,0.830938,0.607222,0.563687,05:36
28,0.008866,1.874276,0.592405,0.806040,0.602298,0.554901,05:38
29,0.009593,1.902745,0.594731,0.805696,0.603100,0.551758,05:39
