epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,5.493812,3.617676,0.208678,0.353643,0.118739,0.138776,05:36
1,3.797769,2.713006,0.308613,0.525298,0.261075,0.234109,05:05
2,3.082032,2.431354,0.347771,0.638121,0.333740,0.332491,05:05
3,2.618098,2.170979,0.444046,0.670607,0.390739,0.329573,05:09
4,2.250937,2.062604,0.418271,0.703054,0.426880,0.338052,05:06
5,1.947445,1.984840,0.467076,0.713501,0.433642,0.322388,05:02
6,1.686518,2.033303,0.451558,0.723339,0.454700,0.413332,05:05
7,1.479728,1.956777,0.456667,0.747741,0.467975,0.360592,05:01
8,1.294164,1.846783,0.488924,0.738590,0.489631,0.419964,05:05
9,1.124582,1.656653,0.552103,0.795325,0.495547,0.407008,05:06
10,0.973684,1.753959,0.541084,0.804858,0.493829,0.410816,05:03
11,0.856121,1.640166,0.559233,0.868685,0.517287,0.486455,05:04
12,0.745556,1.798738,0.554696,0.771037,0.522385,0.422345,05:06
13,0.646494,1.764688,0.544858,0.796851,0.514170,0.430722,05:09
14,0.513650,1.595014,0.604720,0.825295,0.525729,0.453061,05:06
15,0.439967,1.675140,0.546841,0.836848,0.529813,0.504746,05:07
16,0.389600,1.741590,0.551760,0.816334,0.533344,0.455793,05:04
17,0.307975,1.726737,0.589088,0.819499,0.551816,0.483704,05:04
18,0.260862,1.737737,0.521333,0.793305,0.539607,0.476623,05:03
19,0.213718,1.675213,0.594883,0.802570,0.551619,0.511245,05:05
20,0.178346,1.657219,0.560758,0.856179,0.544393,0.518609,05:06
21,0.145361,1.699339,0.601518,0.833568,0.557089,0.552528,05:08
22,0.129938,1.664846,0.575094,0.815000,0.548441,0.511477,05:08
23,0.112161,1.662407,0.611164,0.829679,0.556779,0.500662,05:09
24,0.098088,1.628297,0.605864,0.835055,0.546529,0.500364,05:06
25,0.084538,1.679813,0.599001,0.835666,0.551540,0.473421,05:08
26,0.075204,1.741104,0.602013,0.821710,0.544892,0.449461,05:06
27,0.069691,1.678115,0.576124,0.817440,0.540808,0.449368,05:03
28,0.061503,1.786556,0.568193,0.793152,0.547367,0.453253,05:03
29,0.057349,1.719589,0.589431,0.800549,0.551709,0.461364,05:04
